"DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","P784S1A3","LLAVEHOG","FEX_C"
6000479,1,1,1,5,"60004791",277.960460104179
6000484,1,1,1,4,"60004841",237.883901107314
6000485,1,1,1,3,"60004851",381.870366636335
6000485,2,1,2,4,"60004851",381.870366636335
6000485,3,1,3,5,"60004851",381.870366636335
6000488,1,1,1,4,"60004881",237.883901107314
6000490,1,1,1,3,"60004901",480.242695366611
6000497,1,1,1,3,"60004971",390.167118650037
6000498,1,1,1,3,"60004981",370.78508963414
6000499,1,1,1,3,"60004991",440.166136369746
6000499,2,1,2,4,"60004991",440.166136369746
6000504,1,1,1,3,"60005041",390.167118650037
6000504,2,1,2,4,"60005041",390.167118650037
6000508,1,1,1,3,"60005081",437.680875289882
6000508,2,1,2,4,"60005081",437.680875289882
6000508,3,1,3,5,"60005081",437.680875289882
6000511,1,1,1,2,"60005111",284.980208148122
6000511,2,1,2,3,"60005111",284.980208148122
6000513,1,2,1,2,"60005132",263.852363825391
6000513,2,2,2,3,"60005132",263.852363825391
6000521,1,1,1,3,"60005211",341.163110375278
6000523,1,1,1,2,"60005231",467.479660979608
6000523,2,1,2,3,"60005231",467.479660979608
6000523,3,1,3,4,"60005231",467.479660979608
6000525,1,1,1,4,"60005251",393.033451781184
6000525,2,1,2,7,"60005251",393.033451781184
6000525,3,1,3,8,"60005251",393.033451781184
6000526,1,1,1,4,"60005261",407.381654889312
6000527,1,1,1,2,"60005271",304.398137404631
6000532,1,1,1,2,"60005321",322.467314170666
6000534,1,1,1,2,"60005341",493.970788123286
6000534,2,1,2,5,"60005341",493.970788123286
6000557,1,1,1,3,"60005571",1276.68204830699
6000557,2,1,2,4,"60005571",1276.68204830699
6000558,1,1,1,2,"60005581",389.929662126853
6000558,2,1,2,3,"60005581",389.929662126853
6000560,1,1,1,3,"60005601",293.513562122599
6000560,2,1,2,4,"60005601",293.513562122599
6000573,1,1,1,3,"60005731",596.502428848783
6000573,2,1,2,4,"60005731",596.502428848783
6000576,1,1,1,3,"60005761",507.810619381763
6000579,1,1,1,3,"60005791",619.892001726338
6000601,1,1,1,4,"60006011",1255.91804891307
6000610,1,1,1,2,"60006101",1100.31512639501
6000620,1,1,1,4,"60006201",1307.72596153209
6000620,2,1,2,5,"60006201",1307.72596153209
6000653,1,1,1,3,"60006531",1326.98138343483
6000653,2,1,2,4,"60006531",1326.98138343483
6000656,1,1,1,3,"60006561",1170.78303018711
6000658,1,1,1,2,"60006581",1492.16613522209
6000665,1,1,1,3,"60006651",7536.72840020724
6000665,2,1,2,4,"60006651",7536.72840020724
6000666,1,1,1,6,"60006661",3383.12380062148
6000666,2,1,2,8,"60006661",3383.12380062148
6000689,1,1,1,3,"60006891",576.074781916388
6000692,1,1,1,4,"60006921",952.748625026477
6000693,1,1,1,4,"60006931",529.043963903089
6000693,2,1,2,5,"60006931",529.043963903089
6000711,1,1,1,3,"60007111",483.684423592023
6000711,2,1,2,3,"60007111",483.684423592023
6000721,1,1,1,3,"60007211",1162.38065443759
6000728,1,1,1,2,"60007281",892.49206038798
6000731,1,1,1,3,"60007311",1333.86481140183
6000731,2,1,2,5,"60007311",1333.86481140183
6000731,3,1,3,6,"60007311",1333.86481140183
6000731,4,1,4,7,"60007311",1333.86481140183
6000733,1,1,1,2,"60007331",743.522700979344
6000733,2,1,2,3,"60007331",743.522700979344
6000733,3,1,3,4,"60007331",743.522700979344
6000735,1,1,1,4,"60007351",588.809557639254
6000735,2,1,2,5,"60007351",588.809557639254
6000737,1,1,1,3,"60007371",532.233872153122
6000738,1,1,1,3,"60007381",490.349985389294
6000742,1,1,1,2,"60007421",453.981081349255
6000748,1,1,1,4,"60007481",500.372417055106
6000753,1,1,1,4,"60007531",3109.88956989984
6000758,1,1,1,3,"60007581",2022.63992972645
6000758,2,1,2,4,"60007581",2022.63992972645
6000758,3,1,3,7,"60007581",2022.63992972645
6000758,4,1,4,8,"60007581",2022.63992972645
6000760,1,1,1,1,"60007601",1363.75144705028
6000762,1,1,1,3,"60007621",1983.9158413093
6000763,1,1,1,4,"60007631",2161.04232807709
6000764,1,1,1,4,"60007641",3270.95934199055
6000764,2,1,2,7,"60007641",3270.95934199055
6000766,1,1,1,6,"60007661",2326.66755439273
6000767,1,1,1,2,"60007671",1931.16654672172
6000779,1,1,1,1,"60007791",2970.8558201526
6000784,1,1,1,2,"60007841",581.545098307106
6000792,1,1,1,2,"60007921",262.756727023771
6000792,2,1,2,3,"60007921",262.756727023771
6000794,1,1,1,4,"60007941",262.756727023771
6000798,1,1,1,3,"60007981",408.08112132342
6000803,1,1,1,3,"60008031",620.481214645635
6000803,2,1,2,4,"60008031",620.481214645635
6000806,1,1,1,3,"60008061",599.327878748836
6000806,2,1,2,4,"60008061",599.327878748836
6000809,1,1,1,3,"60008091",489.664099515494
6000813,1,1,1,3,"60008131",600.067891336859
6000813,2,1,2,4,"60008131",600.067891336859
6000813,3,1,3,5,"60008131",600.067891336859
6000813,4,1,4,6,"60008131",600.067891336859
6000815,1,1,1,4,"60008151",622.073399361451
6000826,1,1,1,2,"60008261",533.164579225982
6000867,1,1,1,3,"60008671",2748.57837170059
6000867,2,1,2,4,"60008671",2748.57837170059
6000876,1,1,1,1,"60008761",1635.02681093809
6000878,1,1,1,3,"60008781",1553.808259288
6000883,1,1,1,5,"60008831",1792.41252077276
6000883,1,2,1,1,"60008832",1792.41252077276
6000883,2,2,2,4,"60008832",1792.41252077276
6000883,3,2,3,5,"60008832",1792.41252077276
6000884,1,1,1,3,"60008841",1708.91291159585
6000885,1,1,1,2,"60008851",1782.68707022872
6000885,1,2,1,3,"60008852",1782.68707022872
6000886,1,1,1,3,"60008861",1855.28321936492
6000886,2,1,2,4,"60008861",1855.28321936492
6000887,1,1,1,3,"60008871",2353.76508796959
6000887,2,1,2,4,"60008871",2353.76508796959
6000888,1,1,1,4,"60008881",1976.84673019963
6000888,2,1,2,5,"60008881",1976.84673019963
6000888,3,1,3,8,"60008881",1976.84673019963
6000892,1,1,1,3,"60008921",1844.3277395137
6000892,2,1,2,4,"60008921",1844.3277395137
6000892,3,1,3,5,"60008921",1844.3277395137
6000896,1,1,1,3,"60008961",1652.33300267526
6000896,2,1,2,4,"60008961",1652.33300267526
6000899,1,1,1,3,"60008991",2492.72461848986
6000899,2,1,2,4,"60008991",2492.72461848986
6000901,1,1,1,3,"60009011",1788.73015033924
6000901,2,1,2,4,"60009011",1788.73015033924
6000901,3,1,3,5,"60009011",1788.73015033924
6000902,1,1,1,2,"60009021",1410.14307001619
