"DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","P784S4A2","P784S4A3","P784S4A4","LLAVEHOG","FEX_C"
6005569,1,1,1,"VICTIMAS DE DEZPLAZAMIENTO",4,400000,"60055691",555.598908530396
6005574,1,1,1,"VICTIMA DE DEZPLAZAMIENTO",1,438000,"60055741",561.789599711094
6005576,1,1,1,"DEZPLAZAMIENTO",1,1000000,"60055761",556.946753173724
6005780,1,1,1,"JOVENES EN ACCION",2,800000,"60057801",1236.35651636192
6005945,1,1,1,"AYUDA HUMANITARIA",1,800000,"60059451",1107.21801930308
6005952,1,1,1,"JOVENES EN ACCION",3,2400000,"60059521",1702.89226171343
6006263,1,1,1,"AYUDA HUMANITARIA",3,387000,"60062631",553.292959493891
6006620,1,1,1,"SALUD VIDA",2,3000000,"60066201",239.06288152355
6006622,1,1,1,"SALUD VIDA",1,1500000,"60066221",234.556882103405
6006623,1,1,1,"CENTRO VIDA",1,1500000,"60066231",234.556882103405
6006683,1,1,1,"POR DESPLAZAMIENTO",1,360000,"60066831",1539.00208571527
6006698,1,1,1,"AGUA DE DIOS CUNDINAMARCA",1,8600000,"60066981",1528.25006007779
6006771,1,1,1,"AYUDA HUMANITARIA",1,900000,"60067711",282.959081375344
6006795,1,2,1,"VICTIMAS DEL CONFLICTO ARMADO",3,720000,"60067952",181.297693646615
6006797,1,1,1,"VICTIMAS DEL CONFLICTO ARMADO",1,200000,"60067971",406.966675564714
6006798,1,1,1,"VICTIMAS DEL CONFLICTO ARMADO",1,7788000,"60067981",259.287379867438
6006806,1,1,1,"DESPLAZADOS POR LA VIOLENCIA",1,696000,"60068061",192.474194992396
6006817,1,1,1,"PROYECTOS PRODUCTIVOS DE RESTITUCION D TIERRAS",1,1500000,"60068171",211.41786792029
6006826,1,1,1,"RESTITUCION DE TIERRAS",1,800000,"60068261",211.41786792029
6006945,1,1,1,"MERCADO PARA EL ADULTO MAYOR",1,30000,"60069451",91.2193020341627
6006982,1,1,1,"ADULTO MAYOR",1,320000,"60069821",227.750201653994
6007002,1,1,1,"ADULTO MAYOR",1,98,"60070021",227.750201653994
6007017,1,1,1,"ADULTO MAYOR",1,480000,"60070171",572.267653937645
6007277,1,1,1,"SEGURO SOCIAL",2,720000,"60072771",797.449233834903
6007504,1,1,1,"PROGRAMA REHABILITACION DE DROGAS ESTUPEFACIENTES",1,99,"60075041",2066.61007711033
