"DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","P8692S3A1","LLAVEHOG","FEX_C"
6000688,2,1,2,2,"60006881",563.950284120987
6000786,1,1,1,1,"60007861",1703.63025064405
6000786,2,1,2,2,"60007861",1703.63025064405
6000790,1,1,1,1,"60007901",473.230372180144
6000790,2,1,2,2,"60007901",473.230372180144
6000807,1,1,1,1,"60008071",335.999371126536
6000807,2,1,2,2,"60008071",335.999371126536
6000813,1,1,1,1,"60008131",600.067891336859
6000813,2,1,2,2,"60008131",600.067891336859
6000852,1,1,1,1,"60008521",2379.61985622806
6000852,2,1,2,2,"60008521",2379.61985622806
6000860,1,1,1,1,"60008601",2546.76085726956
6000860,2,1,2,2,"60008601",2546.76085726956
6000908,1,1,1,1,"60009081",2262.1614317284
6000908,2,1,2,2,"60009081",2262.1614317284
6000994,1,1,1,1,"60009941",1822.5053742772
6000994,2,1,2,2,"60009941",1822.5053742772
6001003,1,1,1,1,"60010031",2514.07086180209
6001003,2,1,2,2,"60010031",2514.07086180209
6001010,1,1,1,1,"60010101",3276.94048285003
6001010,2,1,2,2,"60010101",3276.94048285003
6001012,1,1,1,1,"60010121",1731.62479467458
6001012,2,1,2,2,"60010121",1731.62479467458
6001026,1,1,1,1,"60010261",5019.58970193272
6001026,2,1,2,2,"60010261",5019.58970193272
6001037,1,1,1,1,"60010371",5114.4480581648
6001037,2,1,2,2,"60010371",5114.4480581648
6001057,1,1,1,1,"60010571",1822.44093448046
6001057,2,1,2,2,"60010571",1822.44093448046
6001057,3,1,3,3,"60010571",1822.44093448046
6001062,1,1,1,1,"60010621",1531.00533823368
6001062,2,1,2,2,"60010621",1531.00533823368
6001075,1,1,1,1,"60010751",1378.79355114248
6001075,2,1,2,2,"60010751",1378.79355114248
6001075,3,1,3,3,"60010751",1378.79355114248
6001075,4,1,4,4,"60010751",1378.79355114248
6001079,1,1,1,1,"60010791",1593.64452262054
6001079,2,1,2,2,"60010791",1593.64452262054
6001141,1,1,1,1,"60011411",2026.83572724335
6001141,2,1,2,2,"60011411",2026.83572724335
6001230,1,1,1,1,"60012301",2538.22217961208
6001230,2,1,2,2,"60012301",2538.22217961208
6001269,1,1,1,1,"60012691",1576.60878865077
6001269,2,1,2,2,"60012691",1576.60878865077
6001302,1,1,1,1,"60013021",2090.14724941253
6001302,2,1,2,2,"60013021",2090.14724941253
6001302,3,1,3,3,"60013021",2090.14724941253
